Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 11/20  20:00:00,2.899081956,9.000890985,0,7.857036931,0,0.27898869,0.27898869,0.27898869,1.236144588,0.281683279,0.392682536,0.686182864
 11/20  21:00:00,2.798029615,9.942845733,0,8.883359397,0,0.315483548,0.315483548,0.315483548,1.142654688,0.260379501,0.34633896,0.709772917
 11/20  22:00:00,2.574453087,10.69644136,0,9.742495321,0,0.346025798,0.346025798,0.346025798,0.966062662,0.220139033,0.325623251,0.693202343
 11/20  23:00:00,2.154835708,11.70217904,0,10.92196743,0,0.387943388,0.387943388,0.387943388,0.716756139,0.16332896,0.26352943,0.599877791
 11/20  24:00:00,1.755784816,12.37276599,0,11.77877452,0,0.418390616,0.418390616,0.418390616,0.498612913,0.113620146,0.180478502,0.521282639
 11/21  01:00:00,1.319156953,12.32607346,0,11.92904574,0,0.423732457,0.423732457,0.423732457,0.259694289,0.059177159,0.121972906,0.431180143
 11/21  02:00:00,1.175848626,13.23336788,0,12.92559272,0,0.459096797,0.459096797,0.459096797,0.155816494,0.035506296,0.105025705,0.397003334
 11/21  03:00:00,1.102681595,13.49655795,0,13.21312813,0,0.469306991,0.469306991,0.469306991,0.103877703,0.023670861,0.090025644,0.392400397
 11/21  04:00:00,1.095233816,13.69893807,0,13.40893178,0,0.476277569,0.476277569,0.476277569,0.103877703,0.023670861,0.081130812,0.386876872
 11/21  05:00:00,1.113910119,14.3692856,0,14.01044157,0,0.497643657,0.497643657,0.497643657,0.103877703,0.023670861,0.093055352,0.372262546
 11/21  06:00:00,1.18679274,14.73486851,0,14.06812365,0,0.499717577,0.499717577,0.499717577,0.114265469,0.02603795,0.107956662,0.415415083
 11/21  07:00:00,1.459654102,16.5193126,0,15.27870871,0,0.542749931,0.542749931,0.542749931,0.197367691,0.044974641,0.171190562,0.479971277
 11/21  08:00:00,1.784315661,14.88137333,0,13.4810935,0,0.478966962,0.478966962,0.478966962,0.384347484,0.087582196,0.262513577,0.510005442
 11/21  09:00:00,1.608594127,11.50345193,0,10.1477036,0,0.360437241,0.360437241,0.360437241,0.373959718,0.08521511,0.334401917,0.431180143
 11/21  10:00:00,1.358311163,9.862636299,0,8.635057563,0,0.306610559,0.306610559,0.306610559,0.207755457,0.047341728,0.406234251,0.366969169
 11/21  11:00:00,1.298583306,8.400255618,0,7.319809038,0,0.259855086,0.259855086,0.259855086,0.176592027,0.040240468,0.422896049,0.375599676
 11/21  12:00:00,1.219245633,5.501740001,0,4.553009854,0,0.161585771,0.161585771,0.161585771,0.176592027,0.040240468,0.441712618,0.375714749
 11/21  13:00:00,1.169878226,4.465351265,0,3.619997673,0,0.12843767,0.12843767,0.12843767,0.176592027,0.040240468,0.431822351,0.369385711
 11/21  14:00:00,1.100125229,3.191932232,0,2.406835635,0,0.085375401,0.085375401,0.085375401,0.176592027,0.040240468,0.392358472,0.382158861
